"VETERANS' COMMUNITY-BASED CARE ACT; Congressional Record Vol. 141, No. 70",https://www.congress.gov/congressional-record/volume-141/issue-70/senate-section/article/S5918-2,05/01/1995,,141,70,S5918
"A TRIBUTE TO RICHARD L. TALBOTT; Congressional Record Vol. 155, No. 59",https://www.congress.gov/congressional-record/volume-155/issue-59/extensions-of-remarks-section/article/E930-3,04/22/2009,,155,59,E930
"PAPERWORK REDUCTION ACT OF 1995; Congressional Record Vol. 141, No. 42",https://www.congress.gov/congressional-record/volume-141/issue-42/senate-section/article/S3547-4,03/07/1995,,141,42,S3547
"RECOGNIZING THE CAREER OF CONNIE JONES; Congressional Record Vol. 165, No. 137",https://www.congress.gov/congressional-record/volume-165/issue-137/extensions-of-remarks-section/article/E1062-3,08/20/2019,,165,137,E1062
"HONORING MS. BISHOP DR. LOIS J. DELEVOE ON HER 80TH BIRTHDAY; Congressional Record Vol. 162, No. 162",https://www.congress.gov/congressional-record/volume-162/issue-162/extensions-of-remarks-section/article/E1433-1,11/14/2016,,162,162,E1433
"TRIBUTE TO THE 20TH ANNIVERSARY OF THE FAMILY EMERGENCY SHELTER COALITION; Congressional Record Vol. 152, No. 124",https://www.congress.gov/congressional-record/volume-152/issue-124/extensions-of-remarks-section/article/E1901-2,09/28/2006,,152,124,E1901
"COMMENDING THE STUDENTS AND TEACHERS OF MARTINSVILLE MIDDLE SCHOOL FOR ACHIEVEMENT IN PROJECT CITIZEN; Congressional Record Vol. 144, No. 73",https://www.congress.gov/congressional-record/volume-144/issue-73/house-section/article/H4296-3,06/09/1998,,144,73,H4296
"NATIONAL AFFORDABLE HOUSING CONSTRUCTION PROGRAM; Congressional Record Vol. 150, No. 116",https://www.congress.gov/congressional-record/volume-150/issue-116/house-section/article/H7549-6,09/23/2004,,150,116,H7549
"STATEMENTS ON INTRODUCED BILLS AND JOINT RESOLUTIONS; Congressional Record Vol. 152, No. 71",https://www.congress.gov/congressional-record/volume-152/issue-71/senate-section/article/S5600-1,06/07/2006,,152,71,S5600
,https://www.congress.gov/bound-congressional-record/1989/09/07/135/extensions-of-remarks-section/article/19943-19958,09/07/1989,,135,,19943-19958
"JUDGE RUSTY LADD; Congressional Record Vol. 157, No. 175",https://www.congress.gov/congressional-record/volume-157/issue-175/house-section/article/H7636-1,11/16/2011,,157,175,H7636
"HONORING THE HONORABLE JUDGE RUSTY LADD; Congressional Record Vol. 157, No. 160",https://www.congress.gov/congressional-record/volume-157/issue-160/extensions-of-remarks-section/article/E1915-1,10/24/2011,,157,160,E1915
"GOOD SHEPHERD HOUSING FOUNDATION OF PRINCE WILLIAM COUNTY, VIRGINIA, CELEBRATES 20 YEARS; Congressional Record Vol. 155, No. 149",https://www.congress.gov/congressional-record/volume-155/issue-149/extensions-of-remarks-section/article/E2557-1,10/15/2009,,155,149,E2557
"COMMENDING DOORWAYS FOR WOMEN AND FAMILIES; Congressional Record Vol. 155, No. 96",https://www.congress.gov/congressional-record/volume-155/issue-96/extensions-of-remarks-section/article/E1554-3,06/24/2009,,155,96,E1554
"KEEP DOMESTIC VIOLENCE VICTIMS IN HUD HOUSING SAFE FROM THEIR ABUSERS; Congressional Record Vol. 151, No. 72",https://www.congress.gov/congressional-record/volume-151/issue-72/extensions-of-remarks-section/article/E1114-3,05/26/2005,,151,72,E1114
"TRIBUTE TO BOB STOLL; Congressional Record Vol. 168, No. 199",https://www.congress.gov/congressional-record/volume-168/issue-199/senate-section/article/S9774-2,12/21/2022,,168,199,S9774
"Daily Digest/Senate Committee Meetings; Congressional Record Vol. 168, No. 119",https://www.congress.gov/congressional-record/volume-168/issue-119/daily-digest/article/D802-1,07/19/2022,,168,119,D802
"Text of Senate Amendment 1171; Congressional Record Vol. 167, No. 42",https://www.congress.gov/congressional-record/volume-167/issue-42/senate-section/article/S1336-5,03/05/2021,,167,42,S1336
"Text of Senate Amendment 1387; Congressional Record Vol. 167, No. 42",https://www.congress.gov/congressional-record/volume-167/issue-42/senate-section/article/S1399-1,03/05/2021,,167,42,S1399
"EXPRESSING SENSE OF CONGRESS REGARDING ESTABLISHMENT OF NATIONAL HEALTH CENTER WEEK; Congressional Record Vol. 147, No. 111",https://www.congress.gov/congressional-record/volume-147/issue-111/house-section/article/H5323-2,08/02/2001,,147,111,H5323
"STATEMENTS ON INTRODUCED BILLS AND JOINT RESOLUTIONS; Congressional Record Vol. 169, No. 176",https://www.congress.gov/congressional-record/volume-169/issue-176/senate-section/article/S5184-1,10/25/2023,,169,176,S5184
"VETERANS' INSURANCE AND HEALTH CARE IMPROVEMENTS ACT; Congressional Record Vol. 156, No. 132",https://www.congress.gov/congressional-record/volume-156/issue-132/senate-section/article/S7656-2,09/28/2010,,156,132,S7656
"RECOGNIZING KIMBERLEE BURKS; Congressional Record Vol. 165, No. 99",https://www.congress.gov/congressional-record/volume-165/issue-99/extensions-of-remarks-section/article/E771-2,06/13/2019,,165,99,E771
"HONORING THE CONGREGATIONAL CHURCH OF SOQUEL; Congressional Record Vol. 164, No. 80",https://www.congress.gov/congressional-record/volume-164/issue-80/extensions-of-remarks-section/article/E658-1,05/16/2018,,164,80,E658
"TRIBUTE TO SOUTHERN OREGON REHABILITATION CENTER AND CLINICS; Congressional Record Vol. 152, No. 132",https://www.congress.gov/congressional-record/volume-152/issue-132/senate-section/article/S11188-4,12/05/2006,,152,132,S11188
"HONORING BARBARA JEAN BROWN; Congressional Record Vol. 151, No. 119",https://www.congress.gov/congressional-record/volume-151/issue-119/extensions-of-remarks-section/article/E1920-3,09/21/2005,,151,119,E1920
"Affordable Housing (Executive Calendar); Congressional Record Vol. 167, No. 190",https://www.congress.gov/congressional-record/volume-167/issue-190/senate-section/article/S7444-1,10/28/2021,,167,190,S7444
"AIDS FOUNDATION OF CHICAGO FIVE-YEAR HIV/AIDS HOUSING PLAN; Congressional Record Vol. 147, No. 159",https://www.congress.gov/congressional-record/volume-147/issue-159/extensions-of-remarks-section/article/E2116-4,11/16/2001,,147,159,E2116
"JUVENILE CRIME CONTROL AND DELINQUENCY PREVENTION ACT OF 1997; Congressional Record Vol. 143, No. 100",https://www.congress.gov/congressional-record/volume-143/issue-100/house-section/article/H5195-3,07/15/1997,,143,100,H5195
"Daily Digest/COMMITTEE MEETINGS FOR 2009-10-21; Congressional Record Vol. 155, No. 152",https://www.congress.gov/congressional-record/volume-155/issue-152/daily-digest/article/D1202-1,10/20/2009,,155,152,D1202
"FOOD PANTRIES; Congressional Record Vol. 153, No. 194",https://www.congress.gov/congressional-record/volume-153/issue-194/senate-section/article/S15829-2,12/18/2007,,153,194,S15829
"RECOGNIZING VETERANS SUPPORT NETWORK; Congressional Record Vol. 160, No. 117",https://www.congress.gov/congressional-record/volume-160/issue-117/senate-section/article/S4901-1,07/24/2014,,160,117,S4901
"Daily Digest/COMMITTEE MEETINGS FOR 2021-09-21; Congressional Record Vol. 167, No. 162",https://www.congress.gov/congressional-record/volume-167/issue-162/daily-digest/article/D988-2,09/20/2021,,167,162,D988
"ACKNOWLEDGEMENT OF ANOINTED VOICES' CONTRIBUTIONS TO NEW YORK CITY; Congressional Record Vol. 153, No. 110",https://www.congress.gov/congressional-record/volume-153/issue-110/extensions-of-remarks-section/article/E1485-3,07/11/2007,,153,110,E1485
"Daily Digest/Senate Committee Meetings; Congressional Record Vol. 152, No. 34",https://www.congress.gov/congressional-record/volume-152/issue-34/daily-digest/article/D258-1,03/16/2006,,152,34,D258
"DEDICATION OF THE LILLIAN G. BURRY WOMEN'S WING; Congressional Record Vol. 169, No. 83",https://www.congress.gov/congressional-record/volume-169/issue-83/extensions-of-remarks-section/article/E457-4,05/17/2023,,169,83,E457
"RECOGNIZING THE 30TH ANNIVERSARY OF THE LAMB CENTER; Congressional Record Vol. 168, No. 200",https://www.congress.gov/congressional-record/volume-168/issue-200/extensions-of-remarks-section/article/E1346-4,12/22/2022,,168,200,E1346
"REMARKS ON H.R. 1585, THE VIOLENCE AGAINST WOMEN REAUTHORIZATION ACT; Congressional Record Vol. 165, No. 64",https://www.congress.gov/congressional-record/volume-165/issue-64/extensions-of-remarks-section/article/E457-1,04/12/2019,,165,64,E457
"HONORING REVEREND BRUCE HENNING DAVIDSON; Congressional Record Vol. 156, No. 167",https://www.congress.gov/congressional-record/volume-156/issue-167/extensions-of-remarks-section/article/E2167-1,12/16/2010,,156,167,E2167
"RESOLUTION RECOGNIZING THE IMPORTANCE OF STAND DOWN; Congressional Record Vol. 151, No. 25",https://www.congress.gov/congressional-record/volume-151/issue-25/extensions-of-remarks-section/article/E371-1,03/07/2005,,151,25,E371
"SENATE RESOLUTION 57--TO EXPRESS THE SENSE OF THE SENATE THAT THE FEDERAL INVESTMENT PROGRAMS THAT PROVIDE HEALTH CARE SERVICES TO UNINSURED AND LOW-INCOME INDIVIDUALS IN MEDICALLY UNDER-SERVED...; Congressional Record Vol. 147, No. 31",https://www.congress.gov/congressional-record/volume-147/issue-31/senate-section/article/S2135-2,03/09/2001,,147,31,S2135
"HONORING CATHERINE Y. KIM AS A 28TH CONGRESSIONAL DISTRICT WOMAN OF THE YEAR; Congressional Record Vol. 167, No. 131",https://www.congress.gov/congressional-record/volume-167/issue-131/extensions-of-remarks-section/article/E828-3,07/27/2021,,167,131,E828
"HONORING THE BUCKS COUNTY HOUSING GROUP AND BUCKS COUNTY COMMUNITY COLLEGE (BCCC) STUDENTS IN FREE ENTERPRISE FOR OUTSTANDING ACHIEVEMENT OF WHEELZ 2 WORK PROGRAM FOR HOUSING CLIENTS; Congressional Record Vol. 147, No. 139",https://www.congress.gov/congressional-record/volume-147/issue-139/extensions-of-remarks-section/article/E1896-1,10/16/2001,,147,139,E1896
"HONORING ROBERT D. PUETT; Congressional Record Vol. 156, No. 123",https://www.congress.gov/congressional-record/volume-156/issue-123/extensions-of-remarks-section/article/E1581-2,09/14/2010,,156,123,E1581
"SUBMITTED RESOLUTIONS; Congressional Record Vol. 147, No. 94",https://www.congress.gov/congressional-record/volume-147/issue-94/senate-section/article/S7331-1,07/09/2001,,147,94,S7331
"HOUSING CUTS; Congressional Record Vol. 141, No. 121",https://www.congress.gov/congressional-record/volume-141/issue-121/house-section/article/H7555-1,07/25/1995,,141,121,H7555
"STATEMENTS ON INTRODUCED BILLS AND JOINT RESOLUTIONS; Congressional Record Vol. 164, No. 155",https://www.congress.gov/congressional-record/volume-164/issue-155/senate-section/article/S6225-1,09/18/2018,,164,155,S6225
"HONORING PETER DEBIASI AND A CAREER OF SERVICE; Congressional Record Vol. 171, No. 101",https://www.congress.gov/congressional-record/volume-171/issue-101/extensions-of-remarks-section/article/E565-4,06/12/2025,,171,101,E565
"A TRIBUTE TO LEO V. STIMMLER; Congressional Record Vol. 155, No. 33",https://www.congress.gov/congressional-record/volume-155/issue-33/extensions-of-remarks-section/article/E385-1,02/25/2009,,155,33,E385
"TRANSITIONAL HOUSING; Congressional Record Vol. 148, No. 14",https://www.congress.gov/congressional-record/volume-148/issue-14/extensions-of-remarks-section/article/E159-2,02/14/2002,,148,14,E159
"IN COMMEMORATION OF THE LAST SUNDAY IN FEBRUARY AS A NATIONAL DAY OF CARING; Congressional Record Vol. 144, No. 16",https://www.congress.gov/congressional-record/volume-144/issue-16/extensions-of-remarks-section/article/E243-3,02/26/1998,,144,16,E243
"CELEBRATING THE 50TH ANNIVERSARY OF THE DEPARTMENT OF VETERANS AFFAIRS VOLUNTARY SERVICE [VAVS]; Congressional Record Vol. 142, No. 74",https://www.congress.gov/congressional-record/volume-142/issue-74/senate-section/article/S5613-2,05/23/1996,,142,74,S5613
"FINDING COMMON GROUND; Congressional Record Vol. 171, No. 43",https://www.congress.gov/congressional-record/volume-171/issue-43/house-section/article/H1031-1,03/06/2025,,171,43,H1031
"SENATE COMMITTEE MEETINGS; Congressional Record Vol. 155, No. 151",https://www.congress.gov/congressional-record/volume-155/issue-151/extensions-of-remarks-section/article/E2571-2,10/19/2009,,155,151,E2571
"Daily Digest/Senate Committee Meetings; Congressional Record Vol. 152, No. 38",https://www.congress.gov/congressional-record/volume-152/issue-38/daily-digest/article/D304-1,03/30/2006,,152,38,D304
"TEXT OF AMENDMENTS; Congressional Record Vol. 159, No. 155",https://www.congress.gov/congressional-record/volume-159/issue-155/senate-section/article/S7799-2,11/04/2013,,159,155,S7799
"INTRODUCTION OF BILLS AND JOINT RESOLUTIONS; Congressional Record Vol. 169, No. 178",https://www.congress.gov/congressional-record/volume-169/issue-178/senate-section/article/S5229-3,10/30/2023,,169,178,S5229
"IN RECOGNITION OF REVEREND JOE COLAIZZI; Congressional Record Vol. 165, No. 176",https://www.congress.gov/congressional-record/volume-165/issue-176/extensions-of-remarks-section/article/E1400-1,11/05/2019,,165,176,E1400
"CONGRATULATIONS TO THE YWCA WOMEN OF INFLUENCE; Congressional Record Vol. 143, No. 140",https://www.congress.gov/congressional-record/volume-143/issue-140/extensions-of-remarks-section/article/E2008-1,10/09/1997,,143,140,E2008
"Introductory Statement on S. 307; Congressional Record Vol. 143, No. 18",https://www.congress.gov/congressional-record/volume-143/issue-18/senate-section/article/S1308-1,02/12/1997,,143,18,S1308
"FEDERAL FOOD DONATION ACT OF 2007; Congressional Record Vol. 153, No. 193",https://www.congress.gov/congressional-record/volume-153/issue-193/house-section/article/H15484-1,12/17/2007,,153,193,H15484
"IN RECOGNITION OF RANDY CLINTON; Congressional Record Vol. 166, No. 214",https://www.congress.gov/congressional-record/volume-166/issue-214/extensions-of-remarks-section/article/E1169-3,12/17/2020,,166,214,E1169
"DC CENTRAL KITCHEN HELPS THE UNDERSERVED; Congressional Record Vol. 163, No. 86",https://www.congress.gov/congressional-record/volume-163/issue-86/house-section/article/H4318-2,05/18/2017,,163,86,H4318
"WELCOMING THE GUEST CHAPLAIN; Congressional Record Vol. 161, No. 64",https://www.congress.gov/congressional-record/volume-161/issue-64/senate-section/article/S2543-4,04/30/2015,,161,64,S2543
"TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES APPROPRIATIONS ACT, 2013; Congressional Record Vol. 158, No. 104",https://www.congress.gov/congressional-record/volume-158/issue-104/extensions-of-remarks-section/article/E1239-6,07/12/2012,,158,104,E1239
"SECRETARY JESSE BROWN; Congressional Record Vol. 141, No. 196",https://www.congress.gov/congressional-record/volume-141/issue-196/senate-section/article/S18368-1,12/11/1995,,141,196,S18368
"Text of Senate Amendment 1965; Congressional Record Vol. 159, No. 126",https://www.congress.gov/congressional-record/volume-159/issue-126/senate-section/article/S6685-4,09/23/2013,,159,126,S6685
"RIVERSIDE COUNTY, CALIFORNIA, LAND CONVEYANCE; Congressional Record Vol. 150, No. 100",https://www.congress.gov/congressional-record/volume-150/issue-100/house-section/article/H5928-1,07/19/2004,,150,100,H5928
"UNANIMOUS CONSENT REQUEST--H.R. 2716; Congressional Record Vol. 147, No. 166",https://www.congress.gov/congressional-record/volume-147/issue-166/senate-section/article/S12351-1,12/04/2001,,147,166,S12351
"VULNERABLE VETERANS HOUSING REFORM ACT OF 2013; Congressional Record Vol. 159, No. 151",https://www.congress.gov/congressional-record/volume-159/issue-151/house-section/article/H6780-1,10/28/2013,,159,151,H6780
,https://www.congress.gov/bound-congressional-record/1987/04/03/133/daily-digest/article/231-233,04/03/1987,,133,,231-233
,https://www.congress.gov/bound-congressional-record/1990/09/26/136/senate-section/article/25853-26003,09/26/1990,,136,,25853-26003
"JUSTICE FOR VICTIMS OF TRAFFICKING ACT OF 2015--Continued; Congressional Record Vol. 161, No. 59",https://www.congress.gov/congressional-record/volume-161/issue-59/senate-section/article/S2319-5,04/22/2015,,161,59,S2319
"RESTORE CRIME PREVENTION DOLLARS IN H.R. 2067; Congressional Record Vol. 141, No. 121",https://www.congress.gov/congressional-record/volume-141/issue-121/house-section/article/H7687-3,07/25/1995,,141,121,H7687
"ADDRESSING THE MENTAL HEALTH CRISIS IN AMERICA; Congressional Record Vol. 162, No. 144",https://www.congress.gov/congressional-record/volume-162/issue-144/house-section/article/H5810-1,09/22/2016,,162,144,H5810
"IN HONOR OF JAMES ``JIM'' D. TACKETT; Congressional Record Vol. 161, No. 29",https://www.congress.gov/congressional-record/volume-161/issue-29/extensions-of-remarks-section/article/E226-3,02/20/2015,,161,29,E226
"SCHOOL READINESS ACT OF 2005; Congressional Record Vol. 151, No. 120",https://www.congress.gov/congressional-record/volume-151/issue-120/house-section/article/H8311-2,09/22/2005,,151,120,H8311
"RECOGNIZING THE RECIPIENTS OF THE 2018 NORTHERN VIRGINIA LEADERSHIP AWARDS; Congressional Record Vol. 164, No. 201",https://www.congress.gov/congressional-record/volume-164/issue-201/extensions-of-remarks-section/article/E1720-4,12/20/2018,,164,201,E1720
"TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES APPROPRIATIONS ACT, 2015; Congressional Record Vol. 160, No. 89",https://www.congress.gov/congressional-record/volume-160/issue-89/extensions-of-remarks-section/article/E935-3,06/10/2014,,160,89,E935
"HONORING THE ACHIEVEMENTS OF NANCY WACKSTEIN, EXECUTIVE DIRECTOR OF LENOX HILL NEIGHBORHOOD HOUSE; Congressional Record Vol. 148, No. 119",https://www.congress.gov/congressional-record/volume-148/issue-119/extensions-of-remarks-section/article/E1620-3,09/19/2002,,148,119,E1620
"STATEMENTS ON INTRODUCED BILLS AND JOINT RESOLUTIONS; Congressional Record Vol. 149, No. 111",https://www.congress.gov/congressional-record/volume-149/issue-111/senate-section/article/S9906-1,07/24/2003,,149,111,S9906
"STATEMENTS ON INTRODUCED BILLS AND JOINT RESOLUTIONS; Congressional Record Vol. 167, No. 74",https://www.congress.gov/congressional-record/volume-167/issue-74/senate-section/article/S2357-1,04/29/2021,,167,74,S2357
"A TRIBUTE IN RECOGNITION OF THE 25TH ANNIVERSARY OF SRO HOUSING CORPORATION AND THE GRAND OPENING OF ITS NEW JAMES M. WOOD APARTMENTS; Congressional Record Vol. 155, No. 98",https://www.congress.gov/congressional-record/volume-155/issue-98/extensions-of-remarks-section/article/E1581-1,06/26/2009,,155,98,E1581
,https://www.congress.gov/bound-congressional-record/1990/10/25/136/house-section/article/34080-34453,10/25/1990,,136,,34080-34453
"Introductory Statement on S. 1071; Congressional Record Vol. 143, No. 107",https://www.congress.gov/congressional-record/volume-143/issue-107/senate-section/article/S8156-1,07/25/1997,,143,107,S8156
"TEXT OF AMENDMENTS; Congressional Record Vol. 159, No. 126",https://www.congress.gov/congressional-record/volume-159/issue-126/senate-section/article/S6685-2,09/23/2013,,159,126,S6685
,https://www.congress.gov/bound-congressional-record/1988/07/11/134/extensions-of-remarks-section/article/17565-17580,07/11/1988,,134,,17565-17580
"TRIBUTE TO THE LATE BRUCE F. VENTO; Congressional Record Vol. 147, No. 44",https://www.congress.gov/congressional-record/volume-147/issue-44/extensions-of-remarks-section/article/E498-1,03/29/2001,,147,44,E498
,https://www.congress.gov/bound-congressional-record/1991/05/13/137/daily-digest/article/173-176,05/13/1991,,137,,173-176
"Daily Digest/Senate Committee Meetings; Congressional Record Vol. 156, No. 12",https://www.congress.gov/congressional-record/volume-156/issue-12/daily-digest/article/D59-1,01/28/2010,,156,12,D59
"HONORING RUTH ARDEN; Congressional Record Vol. 156, No. 2",https://www.congress.gov/congressional-record/volume-156/issue-2/extensions-of-remarks-section/article/E8-2,01/12/2010,,156,2,E8
"Daily Digest/Senate Committee Meetings; Congressional Record Vol. 146, No. 65",https://www.congress.gov/congressional-record/volume-146/issue-65/daily-digest/article/D511-1,05/23/2000,,146,65,D511
"RECOGNIZING PREBLE STREET; Congressional Record Vol. 171, No. 84",https://www.congress.gov/congressional-record/volume-171/issue-84/senate-section/article/S2969-2,05/19/2025,,171,84,S2969
"CHARITY DOES NOT COME FROM GOVERNMENT AGENCIES; Congressional Record Vol. 162, No. 171",https://www.congress.gov/congressional-record/volume-162/issue-171/extensions-of-remarks-section/article/E1554-3,11/30/2016,,162,171,E1554
"END OF SESSION; Congressional Record Vol. 153, No. 195",https://www.congress.gov/congressional-record/volume-153/issue-195/extensions-of-remarks-section/article/E2662-2,12/19/2007,,153,195,E2662
"KAYLEIGH JACK, IDAHO STATE WINNER OF GOPUSA'S YOUNG PATRIOTS ESSAY CONTEST; Congressional Record Vol. 149, No. 055",https://www.congress.gov/congressional-record/volume-149/issue-55/extensions-of-remarks-section/article/E690-1,04/07/2003,,149,55,E690
"Text of Senate Amendment 1149; Congressional Record Vol. 167, No. 42",https://www.congress.gov/congressional-record/volume-167/issue-42/senate-section/article/S1323-4,03/05/2021,,167,42,S1323
"SUPPORTING GOALS AND IDEALS OF NATIONAL HEALTH CENTER WEEK; Congressional Record Vol. 151, No. 102",https://www.congress.gov/congressional-record/volume-151/issue-102/house-section/article/H6390-1,07/25/2005,,151,102,H6390
"PERSONAL EXPLANATION; Congressional Record Vol. 141, No. 18",https://www.congress.gov/congressional-record/volume-141/issue-18/house-section/article/H861-1,01/30/1995,,141,18,H861
"Daily Digest/House of Representatives; Congressional Record Vol. 153, No. 118",https://www.congress.gov/congressional-record/volume-153/issue-118/daily-digest/article/D1026-2,07/23/2007,,153,118,D1026
"VETERANS' ACCOMPLISHMENTS AND S. 3421; Congressional Record Vol. 152, No. 135",https://www.congress.gov/congressional-record/volume-152/issue-135/senate-section/article/S11609-3,12/08/2006,,152,135,S11609
,https://www.congress.gov/bound-congressional-record/1987/05/28/133/senate-section/article/13863-13978,05/28/1987,,133,,13863-13978
"Text of Senate Amendment 1233; Congressional Record Vol. 167, No. 42",https://www.congress.gov/congressional-record/volume-167/issue-42/senate-section/article/S1346-1,03/05/2021,,167,42,S1346
"Text of Senate Amendment 3056; Congressional Record Vol. 164, No. 104",https://www.congress.gov/congressional-record/volume-164/issue-104/senate-section/article/S4346-6,06/21/2018,,164,104,S4346
"CONTINUING RESOLUTION; Congressional Record Vol. 153, No. 26",https://www.congress.gov/congressional-record/volume-153/issue-26/senate-section/article/S1831-1,02/12/2007,,153,26,S1831
"PROUD OF 360 YOUTH SERVICES; Congressional Record Vol. 168, No. 54",https://www.congress.gov/congressional-record/volume-168/issue-54/house-section/article/H3867-8,03/28/2022,,168,54,H3867
"HOUSING HOPE; Congressional Record Vol. 143, No. 17",https://www.congress.gov/congressional-record/volume-143/issue-17/house-section/article/H410-1,02/11/1997,,143,17,H410
,https://www.congress.gov/bound-congressional-record/1988/08/03/134/extensions-of-remarks-section/article/20334-20363,08/03/1988,,134,,20334-20363
"HOUSING OPPORTUNITY THROUGH MODERNIZATION ACT OF 2015; Congressional Record Vol. 162, No. 19",https://www.congress.gov/congressional-record/volume-162/issue-19/house-section/article/H451-1,02/02/2016,,162,19,H451
"POVERTY, OPPORTUNITY, AND UPWARD MOBILITY; Congressional Record Vol. 162, No. 61",https://www.congress.gov/congressional-record/volume-162/issue-61/house-section/article/H1879-2,04/20/2016,,162,61,H1879
"Daily Digest/House Committee Meetings; Congressional Record Vol. 166, No. 8",https://www.congress.gov/congressional-record/volume-166/issue-8/daily-digest/article/D45-2,01/14/2020,,166,8,D45
"Daily Digest/House of Representatives; Congressional Record Vol. 166, No. 7",https://www.congress.gov/congressional-record/volume-166/issue-7/daily-digest/article/D37-2,01/13/2020,,166,7,D37
"TRIBUTE TO MRS. PATRICIA SHIMMENS; Congressional Record Vol. 153, No. 163",https://www.congress.gov/congressional-record/volume-153/issue-163/extensions-of-remarks-section/article/E2242-2,10/25/2007,,153,163,E2242
"NATIONAL HEALTH CENTER WEEK; Congressional Record Vol. 151, No. 98",https://www.congress.gov/congressional-record/volume-151/issue-98/senate-section/article/S8500-1,07/19/2005,,151,98,S8500
"PROVIDING FOR CONSIDERATION OF H.R. 3248, DOLLARS TO THE CLASSROOM ACT; Congressional Record Vol. 144, No. 124",https://www.congress.gov/congressional-record/volume-144/issue-124/house-section/article/H8013-3,09/17/1998,,144,124,H8013
"AFFORDABLE HOUSING CRISIS; Congressional Record Vol. 164, No. 75",https://www.congress.gov/congressional-record/volume-164/issue-75/house-section/article/H3837-4,05/09/2018,,164,75,H3837
"SENATE CONCURRENT RESOLUTION 121--EXPRESSING THE SENSE OF CONGRESS THAT THERE SHOULD BE ESTABLISHED A NATIONAL HEALTH CENTER WEEK FOR THE WEEK BEGINNING ON AUGUST 18, 2002, TO RAISE AWARENESS OF...; Congressional Record Vol. 148, No. 78",https://www.congress.gov/congressional-record/volume-148/issue-78/senate-section/article/S5544-2,06/13/2002,,148,78,S5544
"IMPROVING JOB OPPORTUNITIES FOR VETERANS ACT OF 2013; Congressional Record Vol. 159, No. 126",https://www.congress.gov/congressional-record/volume-159/issue-126/senate-section/article/S6686-3,09/23/2013,,159,126,S6686
"Daily Digest/Senate Committee Meetings; Congressional Record Vol. 148, No. 23",https://www.congress.gov/congressional-record/volume-148/issue-23/daily-digest/article/D177-1,03/06/2002,,148,23,D177
"THE RESCISSIONS BILL; Congressional Record Vol. 141, No. 112",https://www.congress.gov/congressional-record/volume-141/issue-112/senate-section/article/S9738-1,07/12/1995,,141,112,S9738
"Text of Senate Amendment 894; Congressional Record Vol. 171, No. 34",https://www.congress.gov/congressional-record/volume-171/issue-34/senate-section/article/S1255-7,02/20/2025,,171,34,S1255
"RECOGNIZING TEDDY TENDLER; Congressional Record Vol. 168, No. 161",https://www.congress.gov/congressional-record/volume-168/issue-161/extensions-of-remarks-section/article/E1030-1,10/07/2022,,168,161,E1030
"RECOGNIZING STREET SOCCER USA; Congressional Record Vol. 157, No. 137",https://www.congress.gov/congressional-record/volume-157/issue-137/extensions-of-remarks-section/article/E1638-2,09/15/2011,,157,137,E1638
"Text of Senate Amendment 263; Congressional Record Vol. 155, No. 22",https://www.congress.gov/congressional-record/volume-155/issue-22/senate-section/article/S1576-3,02/04/2009,,155,22,S1576
"IN OPPOSITION TO H.R. 217; Congressional Record Vol. 144, No. 25",https://www.congress.gov/congressional-record/volume-144/issue-25/extensions-of-remarks-section/article/E353-2,03/11/1998,,144,25,E353
,https://www.congress.gov/bound-congressional-record/1990/06/18/136/senate-section/article/14356-14478,06/18/1990,,136,,14356-14478
"Text of Senate Amendment 1754; Congressional Record Vol. 171, No. 60",https://www.congress.gov/congressional-record/volume-171/issue-60/senate-section/article/S2262-3,04/03/2025,,171,60,S2262
"Daily Digest/COMMITTEE MEETINGS FOR 2022-05-18; Congressional Record Vol. 168, No. 84",https://www.congress.gov/congressional-record/volume-168/issue-84/daily-digest/article/D545-2,05/17/2022,,168,84,D545
"A TURNING POINT FOR CALIFORNIA; Congressional Record Vol. 170, No. 109",https://www.congress.gov/congressional-record/volume-170/issue-109/house-section/article/H4438-1,06/28/2024,,170,109,H4438
"STATEMENTS ON INTRODUCED BILLS AND JOINT RESOLUTIONS; Congressional Record Vol. 153, No. 57",https://www.congress.gov/congressional-record/volume-153/issue-57/senate-section/article/S4308-1,04/10/2007,,153,57,S4308
"RECOGNIZING FRANCKY PIERRE-PAUL; Congressional Record Vol. 166, No. 121",https://www.congress.gov/congressional-record/volume-166/issue-121/extensions-of-remarks-section/article/E608-3,07/01/2020,,166,121,E608
"SEVERE WEATHER SHELTER NETWORK; Congressional Record Vol. 166, No. 23",https://www.congress.gov/congressional-record/volume-166/issue-23/extensions-of-remarks-section/article/E126-3,02/04/2020,,166,23,E126
"RECOGNIZING EMILY AND MICHAEL BROADBRIDGE; Congressional Record Vol. 163, No. 97",https://www.congress.gov/congressional-record/volume-163/issue-97/house-section/article/H4658-2,06/07/2017,,163,97,H4658
"Text of Senate Amendment 710; Congressional Record Vol. 171, No. 34",https://www.congress.gov/congressional-record/volume-171/issue-34/senate-section/article/S1230-5,02/20/2025,,171,34,S1230
"Text of Senate Amendment 138; Congressional Record Vol. 171, No. 33",https://www.congress.gov/congressional-record/volume-171/issue-33/senate-section/article/S1050-1,02/19/2025,,171,33,S1050
